Id,Class
31,Melbourne
32,Sydney
33,Sydney
34,Perth
35,Perth
36,Brisbane
37,Sydney
38,Perth
39,Sydney
310,Perth
311,Melbourne
312,Brisbane
313,Sydney
314,Perth
315,Brisbane
316,Melbourne
317,Melbourne
318,Brisbane
319,Perth
320,Perth
321,Sydney
322,Brisbane
323,Perth
324,Perth
325,Perth
326,Brisbane
327,Perth
328,Sydney
329,Melbourne
330,Sydney
331,Melbourne
332,Brisbane
333,Sydney
334,Perth
335,Sydney
336,Perth
337,Perth
338,Brisbane
339,Perth
340,Perth
341,Perth
342,Perth
343,Melbourne
344,Brisbane
345,Brisbane
346,Perth
347,Sydney
348,Melbourne
349,Perth
350,Brisbane
351,Perth
352,Melbourne
353,Melbourne
354,Melbourne
355,Brisbane
356,Brisbane
357,Perth
358,Melbourne
359,Perth
360,Melbourne
361,Melbourne
362,Melbourne
363,Melbourne
364,Sydney
365,Perth
366,Perth
367,Perth
368,Brisbane
369,Perth
370,Sydney
371,Sydney
372,Perth
373,Perth
374,Brisbane
375,Perth
376,Sydney
377,Brisbane
378,Perth
379,Sydney
380,Brisbane
381,Brisbane
382,Sydney
383,Perth
384,Perth
385,Brisbane
386,Brisbane
387,Melbourne
388,Sydney
389,Brisbane
390,Brisbane
391,Sydney
392,Perth
393,Perth
394,Brisbane
395,Perth
396,Sydney
397,Melbourne
398,Sydney
399,Sydney
3100,Melbourne
3101,Melbourne
3102,Brisbane
3103,Sydney
3104,Brisbane
3105,Melbourne
3106,Melbourne
3107,Brisbane
3108,Brisbane
3109,Brisbane
3110,Perth
3111,Perth
3112,Brisbane
3113,Brisbane
3114,Brisbane
3115,Perth
3116,Brisbane
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Melbourne
3121,Brisbane
3122,Melbourne
3123,Melbourne
3124,Brisbane
3125,Brisbane
3126,Melbourne
3127,Perth
3128,Brisbane
3129,Brisbane
3130,Sydney
3131,Melbourne
3132,Perth
3133,Brisbane
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Perth
3138,Brisbane
3139,Melbourne
3140,Sydney
3141,Sydney
3142,Perth
3143,Brisbane
3144,Melbourne
3145,Sydney
3146,Perth
3147,Sydney
3148,Perth
3149,Brisbane
3150,Perth
3151,Perth
3152,Brisbane
3153,Melbourne
3154,Sydney
3155,Perth
3156,Brisbane
3157,Perth
3158,Melbourne
3159,Sydney
3160,Brisbane
3161,Perth
3162,Sydney
3163,Brisbane
3164,Brisbane
3165,Perth
3166,Melbourne
3167,Melbourne
3168,Perth
3169,Perth
3170,Brisbane
3171,Melbourne
3172,Brisbane
3173,Brisbane
3174,Brisbane
3175,Brisbane
3176,Brisbane
3177,Melbourne
3178,Sydney
3179,Perth
3180,Brisbane
3181,Brisbane
3182,Sydney
3183,Melbourne
3184,Perth
3185,Sydney
3186,Sydney
3187,Perth
3188,Sydney
3189,Sydney
3190,Brisbane
3191,Perth
3192,Sydney
3193,Brisbane
3194,Perth
3195,Sydney
3196,Brisbane
3197,Brisbane
3198,Sydney
3199,Melbourne
3200,Perth
3201,Perth
3202,Brisbane
3203,Sydney
3204,Melbourne
3205,Perth
3206,Perth
3207,Perth
3208,Brisbane
3209,Perth
3210,Sydney
3211,Brisbane
3212,Perth
3213,Perth
3214,Sydney
3215,Brisbane
3216,Melbourne
3217,Perth
3218,Perth
3219,Sydney
3220,Melbourne
3221,Sydney
3222,Brisbane
3223,Melbourne
3224,Melbourne
3225,Brisbane
3226,Perth
3227,Sydney
3228,Melbourne
3229,Brisbane
3230,Perth
3231,Perth
3232,Sydney
3233,Melbourne
3234,Sydney
3235,Perth
3236,Brisbane
3237,Brisbane
3238,Melbourne
3239,Sydney
3240,Melbourne
3241,Brisbane
3242,Perth
3243,Brisbane
3244,Melbourne
3245,Perth
3246,Brisbane
3247,Brisbane
3248,Perth
3249,Melbourne
3250,Brisbane
3251,Perth
3252,Brisbane
3253,Sydney
3254,Brisbane
3255,Brisbane
3256,Sydney
3257,Brisbane
3258,Melbourne
3259,Sydney
3260,Brisbane
3261,Perth
3262,Melbourne
3263,Sydney
3264,Brisbane
3265,Melbourne
3266,Sydney
3267,Sydney
3268,Melbourne
3269,Melbourne
3270,Sydney
3271,Sydney
3272,Melbourne
3273,Brisbane
3274,Melbourne
3275,Perth
3276,Perth
3277,Perth
3278,Sydney
3279,Perth
3280,Brisbane
3281,Sydney
3282,Perth
3283,Sydney
3284,Perth
3285,Perth
3286,Melbourne
3287,Brisbane
3288,Brisbane
3289,Brisbane
3290,Perth
3291,Melbourne
3292,Sydney
3293,Melbourne
3294,Brisbane
3295,Perth
3296,Brisbane
3297,Melbourne
3298,Sydney
3299,Perth
3300,Perth
3301,Sydney
3302,Melbourne
3303,Sydney
3304,Perth
3305,Sydney
3306,Brisbane
3307,Perth
3308,Perth
3309,Brisbane
3310,Melbourne
3311,Sydney
3312,Melbourne
3313,Perth
3314,Sydney
3315,Sydney
3316,Perth
3317,Melbourne
3318,Perth
3319,Sydney
3320,Brisbane
3321,Melbourne
3322,Sydney
3323,Melbourne
3324,Brisbane
3325,Sydney
3326,Sydney
3327,Brisbane
3328,Brisbane
3329,Perth
3330,Melbourne
3331,Perth
3332,Melbourne
3333,Melbourne
3334,Melbourne
3335,Melbourne
3336,Perth
3337,Melbourne
3338,Sydney
3339,Melbourne
3340,Melbourne
3341,Brisbane
3342,Brisbane
3343,Sydney
3344,Sydney
3345,Sydney
3346,Melbourne
3347,Sydney
3348,Sydney
3349,Perth
3350,Brisbane
3351,Brisbane
3352,Sydney
3353,Melbourne
3354,Brisbane
3355,Perth
3356,Brisbane
3357,Melbourne
3358,Perth
3359,Melbourne
3360,Melbourne
3361,Brisbane
3362,Brisbane
3363,Melbourne
3364,Sydney
3365,Sydney
3366,Brisbane
3367,Sydney
3368,Melbourne
3369,Melbourne
3370,Brisbane
3371,Melbourne
3372,Brisbane
3373,Brisbane
3374,Perth
3375,Sydney
3376,Perth
3377,Melbourne
3378,Brisbane
3379,Brisbane
3380,Brisbane
3381,Brisbane
3382,Melbourne
3383,Brisbane
3384,Perth
3385,Brisbane
3386,Perth
3387,Melbourne
3388,Melbourne
3389,Perth
3390,Brisbane
3391,Sydney
3392,Sydney
3393,Sydney
3394,Perth
3395,Brisbane
3396,Melbourne
3397,Melbourne
3398,Perth
3399,Brisbane
3400,Sydney
3401,Melbourne
3402,Melbourne
3403,Perth
3404,Perth
3405,Sydney
3406,Melbourne
3407,Sydney
3408,Perth
3409,Perth
3410,Perth
3411,Brisbane
3412,Perth
3413,Melbourne
3414,Perth
3415,Sydney
3416,Perth
3417,Melbourne
3418,Sydney
3419,Sydney
3420,Melbourne
3421,Sydney
3422,Brisbane
3423,Perth
3424,Sydney
3425,Perth
3426,Sydney
3427,Melbourne
3428,Melbourne
3429,Melbourne
3430,Sydney
3431,Brisbane
3432,Brisbane
3433,Melbourne
3434,Brisbane
3435,Brisbane
3436,Brisbane
3437,Brisbane
3438,Brisbane
3439,Perth
3440,Sydney
3441,Brisbane
3442,Brisbane
3443,Melbourne
3444,Brisbane
3445,Perth
3446,Perth
3447,Perth
3448,Melbourne
3449,Perth
3450,Sydney
3451,Perth
3452,Sydney
3453,Brisbane
3454,Perth
3455,Melbourne
3456,Sydney
3457,Perth
3458,Perth
3459,Sydney
3460,Perth
3461,Melbourne
3462,Perth
3463,Sydney
3464,Perth
3465,Brisbane
3466,Melbourne
3467,Melbourne
3468,Sydney
3469,Brisbane
3470,Melbourne
3471,Melbourne
3472,Melbourne
3473,Sydney
3474,Brisbane
3475,Melbourne
3476,Brisbane
3477,Melbourne
3478,Sydney
3479,Brisbane
3480,Perth
3481,Sydney
3482,Melbourne
3483,Perth
3484,Brisbane
3485,Melbourne
3486,Perth
3487,Perth
3488,Perth
3489,Sydney
3490,Perth
3491,Brisbane
3492,Sydney
3493,Melbourne
3494,Perth
3495,Brisbane
3496,Perth
3497,Perth
3498,Brisbane
3499,Melbourne
3500,Melbourne
3501,Perth
3502,Sydney
3503,Brisbane
3504,Melbourne
3505,Sydney
3506,Brisbane
3507,Brisbane
3508,Brisbane
3509,Melbourne
3510,Brisbane
3511,Melbourne
3512,Brisbane
3513,Melbourne
3514,Brisbane
3515,Brisbane
3516,Perth
3517,Perth
3518,Brisbane
3519,Sydney
3520,Sydney
3521,Sydney
3522,Brisbane
3523,Melbourne
3524,Melbourne
3525,Perth
3526,Brisbane
3527,Sydney
3528,Sydney
3529,Perth
3530,Melbourne
3531,Brisbane
3532,Perth
3533,Melbourne
3534,Melbourne
3535,Brisbane
3536,Sydney
3537,Brisbane
3538,Perth
3539,Perth
3540,Sydney
3541,Brisbane
3542,Melbourne
3543,Sydney
3544,Perth
3545,Perth
3546,Brisbane
3547,Melbourne
3548,Perth
3549,Perth
3550,Brisbane
3551,Perth
3552,Brisbane
3553,Melbourne
3554,Sydney
3555,Sydney
3556,Sydney
3557,Perth
3558,Melbourne
3559,Sydney
3560,Brisbane
3561,Sydney
3562,Melbourne
3563,Perth
3564,Sydney
3565,Melbourne
3566,Melbourne
3567,Melbourne
3568,Perth
3569,Perth
3570,Melbourne
3571,Perth
3572,Melbourne
3573,Brisbane
3574,Melbourne
3575,Brisbane
3576,Brisbane
3577,Sydney
3578,Perth
3579,Sydney
3580,Brisbane
3581,Perth
3582,Melbourne
3583,Melbourne
3584,Sydney
3585,Sydney
3586,Perth
3587,Sydney
3588,Brisbane
3589,Brisbane
3590,Perth
3591,Perth
3592,Melbourne
3593,Perth
3594,Sydney
3595,Melbourne
3596,Sydney
3597,Brisbane
3598,Perth
3599,Brisbane
3600,Perth
3601,Perth
3602,Melbourne
3603,Sydney
3604,Sydney
3605,Melbourne
3606,Brisbane
3607,Sydney
3608,Melbourne
3609,Sydney
3610,Sydney
3611,Brisbane
3612,Sydney
3613,Perth
3614,Brisbane
3615,Melbourne
3616,Perth
3617,Perth
3618,Brisbane
3619,Brisbane
3620,Melbourne
3621,Melbourne
3622,Perth
3623,Perth
3624,Perth
3625,Melbourne
3626,Melbourne
3627,Brisbane
3628,Brisbane
3629,Melbourne
3630,Brisbane
3631,Brisbane
3632,Melbourne
3633,Perth
3634,Brisbane
3635,Brisbane
3636,Melbourne
3637,Sydney
3638,Sydney
3639,Sydney
3640,Melbourne
3641,Brisbane
3642,Sydney
3643,Melbourne
3644,Melbourne
3645,Sydney
3646,Brisbane
3647,Brisbane
3648,Sydney
3649,Sydney
3650,Perth
3651,Sydney
3652,Brisbane
3653,Sydney
3654,Perth
3655,Perth
3656,Brisbane
3657,Brisbane
3658,Perth
3659,Brisbane
3660,Brisbane
3661,Sydney
3662,Melbourne
3663,Sydney
3664,Sydney
3665,Brisbane
3666,Perth
3667,Brisbane
3668,Sydney
3669,Sydney
3670,Melbourne
3671,Perth
3672,Perth
3673,Perth
3674,Melbourne
3675,Perth
3676,Brisbane
3677,Sydney
3678,Perth
3679,Perth
3680,Melbourne
3681,Brisbane
3682,Brisbane
3683,Brisbane
3684,Brisbane
3685,Brisbane
3686,Sydney
3687,Perth
3688,Sydney
3689,Brisbane
3690,Melbourne
3691,Brisbane
3692,Sydney
3693,Brisbane
3694,Melbourne
3695,Brisbane
3696,Perth
3697,Sydney
3698,Brisbane
3699,Brisbane
3700,Brisbane
3701,Sydney
3702,Brisbane
3703,Melbourne
3704,Brisbane
3705,Melbourne
3706,Sydney
3707,Brisbane
3708,Brisbane
3709,Perth
3710,Sydney
3711,Brisbane
3712,Sydney
3713,Perth
3714,Perth
3715,Brisbane
3716,Brisbane
3717,Melbourne
3718,Perth
3719,Melbourne
3720,Brisbane
3721,Sydney
3722,Perth
3723,Perth
3724,Sydney
3725,Perth
3726,Perth
3727,Sydney
3728,Perth
3729,Brisbane
3730,Perth
3731,Sydney
3732,Melbourne
3733,Perth
3734,Sydney
3735,Sydney
3736,Melbourne
3737,Melbourne
3738,Brisbane
3739,Sydney
3740,Sydney
3741,Brisbane
3742,Melbourne
3743,Brisbane
3744,Perth
3745,Brisbane
3746,Melbourne
3747,Melbourne
3748,Melbourne
3749,Brisbane
3750,Perth
3751,Sydney
3752,Brisbane
3753,Melbourne
3754,Brisbane
3755,Brisbane
3756,Perth
3757,Brisbane
3758,Perth
3759,Brisbane
3760,Perth
3761,Brisbane
3762,Melbourne
3763,Melbourne
3764,Sydney
3765,Perth
3766,Sydney
3767,Perth
3768,Brisbane
3769,Perth
3770,Brisbane
3771,Brisbane
3772,Brisbane
3773,Brisbane
3774,Sydney
3775,Perth
3776,Sydney
3777,Brisbane
3778,Brisbane
3779,Perth
3780,Brisbane
3781,Perth
3782,Perth
3783,Perth
3784,Sydney
3785,Sydney
3786,Sydney
3787,Sydney
3788,Sydney
3789,Melbourne
3790,Brisbane
3791,Melbourne
3792,Brisbane
3793,Brisbane
3794,Brisbane
3795,Sydney
3796,Brisbane
3797,Brisbane
3798,Brisbane
3799,Brisbane
3800,Brisbane
3801,Brisbane
3802,Melbourne
3803,Perth
3804,Brisbane
3805,Perth
3806,Sydney
3807,Sydney
3808,Brisbane
3809,Brisbane
3810,Perth
3811,Melbourne
3812,Sydney
3813,Perth
3814,Melbourne
3815,Perth
3816,Perth
3817,Brisbane
3818,Perth
3819,Perth
3820,Brisbane
3821,Perth
3822,Melbourne
3823,Brisbane
3824,Sydney
3825,Brisbane
3826,Perth
3827,Perth
3828,Perth
3829,Melbourne
3830,Brisbane
3831,Perth
3832,Sydney
3833,Brisbane
3834,Brisbane
3835,Melbourne
3836,Melbourne
3837,Brisbane
3838,Brisbane
3839,Perth
3840,Perth
3841,Perth
3842,Perth
3843,Brisbane
3844,Perth
3845,Brisbane
3846,Brisbane
3847,Brisbane
3848,Brisbane
3849,Perth
3850,Perth
3851,Melbourne
3852,Perth
3853,Melbourne
3854,Sydney
3855,Brisbane
3856,Melbourne
3857,Brisbane
3858,Brisbane
3859,Melbourne
3860,Sydney
3861,Brisbane
3862,Sydney
3863,Melbourne
3864,Perth
3865,Perth
3866,Sydney
3867,Melbourne
3868,Brisbane
3869,Brisbane
3870,Brisbane
3871,Sydney
3872,Brisbane
3873,Perth
3874,Sydney
3875,Brisbane
3876,Brisbane
3877,Perth
3878,Melbourne
3879,Brisbane
3880,Brisbane
3881,Perth
3882,Brisbane
3883,Brisbane
3884,Melbourne
3885,Melbourne
3886,Brisbane
3887,Brisbane
3888,Brisbane
3889,Brisbane
3890,Sydney
3891,Perth
3892,Brisbane
3893,Brisbane
3894,Brisbane
3895,Perth
3896,Perth
3897,Melbourne
3898,Sydney
3899,Melbourne
3900,Perth
3901,Perth
3902,Melbourne
3903,Perth
3904,Melbourne
3905,Perth
3906,Perth
3907,Brisbane
3908,Perth
3909,Sydney
3910,Perth
3911,Sydney
3912,Brisbane
3913,Melbourne
3914,Brisbane
3915,Melbourne
3916,Sydney
3917,Sydney
3918,Melbourne
3919,Perth
3920,Sydney
3921,Melbourne
3922,Brisbane
3923,Brisbane
3924,Melbourne
3925,Brisbane
3926,Brisbane
3927,Brisbane
3928,Brisbane
3929,Melbourne
3930,Perth
3931,Brisbane
3932,Melbourne
3933,Sydney
3934,Brisbane
3935,Brisbane
3936,Perth
3937,Melbourne
3938,Brisbane
3939,Perth
3940,Brisbane
3941,Perth
3942,Brisbane
3943,Perth
3944,Brisbane
3945,Brisbane
3946,Perth
3947,Sydney
3948,Melbourne
3949,Perth
3950,Perth
3951,Brisbane
3952,Brisbane
3953,Brisbane
3954,Sydney
3955,Brisbane
3956,Melbourne
3957,Melbourne
3958,Brisbane
3959,Melbourne
3960,Sydney
3961,Brisbane
3962,Brisbane
3963,Sydney
3964,Melbourne
3965,Perth
3966,Melbourne
3967,Perth
3968,Brisbane
3969,Brisbane
3970,Melbourne
3971,Brisbane
3972,Melbourne
3973,Sydney
3974,Sydney
3975,Brisbane
3976,Perth
3977,Melbourne
3978,Melbourne
3979,Brisbane
3980,Sydney
3981,Sydney
3982,Brisbane
3983,Melbourne
3984,Perth
3985,Brisbane
3986,Melbourne
3987,Sydney
3988,Melbourne
3989,Sydney
3990,Melbourne
3991,Perth
3992,Brisbane
3993,Brisbane
3994,Perth
3995,Brisbane
3996,Sydney
3997,Melbourne
3998,Melbourne
3999,Perth
31000,Brisbane
31001,Melbourne
31002,Sydney
31003,Sydney
31004,Perth
31005,Sydney
31006,Perth
31007,Perth
31008,Brisbane
31009,Melbourne
31010,Perth
31011,Sydney
31012,Perth
31013,Sydney
31014,Brisbane
31015,Brisbane
31016,Melbourne
31017,Perth
31018,Sydney
31019,Melbourne
31020,Melbourne
31021,Melbourne
31022,Perth
31023,Perth
31024,Sydney
31025,Melbourne
31026,Sydney
31027,Melbourne
31028,Melbourne
31029,Perth
31030,Perth
31031,Melbourne
31032,Perth
31033,Sydney
31034,Perth
31035,Sydney
31036,Brisbane
31037,Sydney
31038,Perth
31039,Melbourne
31040,Perth
31041,Melbourne
31042,Sydney
31043,Perth
31044,Brisbane
31045,Melbourne
31046,Sydney
31047,Perth
31048,Brisbane
31049,Melbourne
31050,Brisbane
31051,Melbourne
31052,Brisbane
31053,Brisbane
31054,Melbourne
31055,Melbourne
31056,Melbourne
31057,Melbourne
31058,Perth
31059,Sydney
31060,Brisbane
31061,Perth
31062,Brisbane
31063,Sydney
31064,Sydney
31065,Brisbane
31066,Brisbane
31067,Melbourne
31068,Brisbane
31069,Perth
31070,Perth
31071,Melbourne
31072,Melbourne
31073,Sydney
31074,Perth
31075,Perth
31076,Perth
31077,Perth
31078,Sydney
31079,Brisbane
31080,Brisbane
31081,Brisbane
31082,Perth
31083,Perth
